region,year,y,l,pop,k,labsh,sub_region,countrycode
Americas,2014,453020.6957477072,11.982538137099016,26.881247,1867332.4510869565,0.5023992489213529,NA,NA
Americas,2015,456066.7714737602,12.138703449264817,27.16625152173913,1913932.6363790762,0.5020895691021628,NA,NA
Americas,2016,457064.3889054008,12.148188440696053,27.446895217391305,1952683.4932065217,0.5008145013581151,NA,NA
Americas,2017,466920.5818295686,12.258716105766919,27.72310460869565,1990932.6034307065,0.49913660987563757,NA,NA
Americas,2018,475106.01358695654,12.454468179656113,27.99489308695652,2030211.01171875,0.4996248678020809,NA,NA
Americas,2019,479196.09055494226,12.6466155440911,28.262385,2066815.5091711956,0.4996248678020809,NA,NA
Asia,1979,384262.8031063988,43.032441035977435,103.25237428571428,1259139.849702381,0.43143007655938465,NA,NA
Asia,1980,376191.1888094815,42.467321102253415,100.492194,1275861.6377840908,0.43316964872858743,NA,NA
Asia,1981,388017.7091841264,44.025295474989846,102.38423586363636,1349836.6654829546,0.43194306099956686,NA,NA
Asia,1982,398432.5579944957,45.667344589802354,104.30583122727273,1424802.869140625,0.4337932271036235,NA,NA
Asia,1983,414382.2248757102,46.9833436886018,106.27504154545454,1502894.5294744319,0.43592120097442105,NA,NA
Asia,1984,434641.41721413354,48.28025641630996,108.31329554545454,1577324.7013494319,0.4353549880060283,NA,NA
Asia,1985,452516.48393110797,49.55010927265341,110.43117445454546,1650480.9973366477,0.43336960063739255,NA,NA
Asia,1986,474722.01819957385,50.78769308531826,112.6414974090909,1726584.7542613635,0.4308785247531804,NA,NA
Asia,1987,500206.0534446023,51.99518825452436,114.92787395454545,1811810.9534801135,0.4303891584277153,NA,NA
Asia,1988,529160.584206321,53.60846720229495,117.23559940909091,1904931.7393465908,0.4299721440131014,NA,NA
Asia,1989,547834.8888494318,55.42171686887741,119.49021477272727,2001651.6427556819,0.42951326275413687,NA,NA
Asia,1990,575378.8882723722,56.96058810299093,121.638239,2109847.4311079546,0.4293004904281009,NA,NA
Asia,1991,596659.525612571,58.26628761061213,123.65836518181817,2223820.2418323862,0.43022358349778433,NA,NA
Asia,1992,626835.0854048296,59.276757950809866,125.56511145454544,2342732.2904829546,0.43125679885799234,NA,NA
Asia,1993,657799.0857821378,60.0422028160908,127.3853635909091,2468500.0316051138,0.4283649738539349,NA,NA
Asia,1994,686527.5336692117,60.8152277760885,129.16253799999998,2594824.846946023,0.4276106594638391,NA,NA
Asia,1995,727758.8173384233,61.45125551250848,130.92895104545454,2734145.537997159,0.4268555173819715,NA,NA
Asia,1996,771750.383034446,62.202992708168246,132.6910090909091,2887742.508877841,0.42741697417064145,NA,NA
Asia,1997,801254.0484286222,62.958848506212234,134.4393595,3038957.6228693184,0.42509197714653885,NA,NA
Asia,1998,802181.3371360085,63.66137335178527,136.17228581818182,3164841.2049005684,0.43275662850249896,NA,NA
Asia,1999,826929.6583806818,64.36562916501002,137.84470827272727,3287884.1448863638,0.42657372761856427,NA,NA
Asia,2000,868970.4326171875,65.2684821669351,139.5321308181818,3418166.8774857954,0.4156346605582671,NA,NA
Asia,2001,896046.6444424716,66.18103683265772,141.19700109090908,3559431.0092329546,0.4154107530008663,NA,NA
Asia,2002,938326.2626509233,67.12361180375923,142.84395968181818,3705612.0390625,0.4117123647169633,NA,NA
Asia,2003,991036.4429154829,68.12491784583439,144.47534440909092,3874916.8888494316,0.41092086312445725,NA,NA
Asia,2004,1063662.730690696,69.1682799174027,146.093966,4072458.39453125,0.4033028483390808,NA,NA
Asia,2005,1134048.7741477273,69.71647789261557,147.70203504545455,4300355.923650568,0.39897164566950366,NA,NA
Asia,2006,1213971.4969371448,70.10136034136468,149.29876013636363,4553739.886363637,0.39343205162070016,NA,NA
Asia,2007,1297717.9856178977,70.67442934079604,150.8845755909091,4835663.084161932,0.396140609275211,NA,NA
Asia,2008,1345863.5669389204,71.18124100430445,152.46403445454544,5136497.1257102275,0.3992472744800828,NA,NA
Asia,2009,1395401.1072443181,71.66260736096989,154.04284790909088,5467411.8639914775,0.4198506129058925,NA,NA
Asia,2010,1512237.494140625,72.33209270645271,155.623861,5841733.308948863,0.4153505712747574,NA,NA
Asia,2011,1596255.9477982954,73.01744454286315,157.208162,6253691.126420454,0.4153601432388479,NA,NA
Asia,2012,1656618.685102983,73.39275281944059,158.79048718181818,6687080.732244318,0.41663712059909647,NA,NA
Asia,2013,1752011.9542791194,74.4395046396689,160.3598463181818,7142357.885653409,0.4179495058276437,NA,NA
Asia,2014,1846185.7772549717,74.7702116952701,161.90217386363636,7616976.806818182,0.4205234511332078,NA,NA
Asia,2015,1924186.2731711648,75.11261865225705,163.4065209090909,8119361.980823863,0.4241792613809759,NA,NA
Asia,2016,2012979.3819247158,75.50883308459412,164.86947927272726,8642335.108664773,0.4255960949442603,NA,NA
Asia,2017,2089589.9556107954,76.0176949934526,166.28993154545452,9192350.700284092,0.4241287532177838,NA,NA
Asia,2018,2137432.1563387783,76.6044457947666,167.66316795454546,9772115.536931818,0.425237852064046,NA,NA
Asia,2019,2200902.4818892046,77.19120595536448,168.9843154090909,10349988.767755682,0.425237852064046,NA,NA
Europe,1979,417399.45244806464,7.615698113360188,17.62310909090909,2257974.3225097656,0.6056552949276838,NA,NA
Europe,1980,425609.59807794745,7.66269297322089,17.690578318181817,2337229.825062145,0.6044817228208889,NA,NA
Europe,1981,426169.8200683594,7.658335785974156,17.751795954545454,2405977.010830966,0.6042197062210604,NA,NA
Europe,1982,428690.7750133168,7.62117699296637,17.807412818181817,2467073.0665394175,0.6025430465286429,NA,NA
Europe,1983,436080.6795654297,7.612229673361236,17.85929036363636,2525297.3648792612,0.5999573401429437,NA,NA
Europe,1984,448210.69486860797,7.611609152094885,17.9098915,2581489.296653054,0.5962327949025414,NA,NA
Europe,1985,458909.1706321023,7.6589907299388535,17.961087499999998,2638449.355069247,0.5969193022359501,NA,NA
Europe,1986,470997.39722789417,7.7279201258312575,18.01321259090909,2698786.0709339487,0.5979710207744078,NA,NA
Europe,1987,482735.7537064986,7.801854924722151,18.06604436363636,2762673.8994140625,0.5988405143672769,NA,NA
Europe,1988,501605.71806196735,7.876854152842001,18.120140954545455,2834192.0795454546,0.5963418822396885,NA,NA
Europe,1989,518524.89481977985,7.94847428730943,18.175981909090908,2911912.8217773438,0.59381592951037665,NA,NA
Europe,1990,530800.2627840909,7.967948024923151,18.233649772727272,2990983.0142045454,0.5951049476861954,NA,NA
Europe,1991,538431.6054021661,7.877916355024684,18.29463709090909,3065330.119850852,0.5975920029661872,NA,NA
Europe,1992,543938.6380504261,7.783638650043444,18.358441727272726,3133741.6384055396,0.5964657975868746,NA,NA
Europe,1993,541435.6480601918,7.65343750403686,18.420783727272728,3186985.5525568184,0.5924161225557327,NA,NA
Europe,1994,555738.6772017046,7.6492863229729915,18.475821227272725,3242896.3334517046,0.5881173624233766,NA,NA
Europe,1995,570612.4725008878,7.7184929536147555,18.51989009090909,3303523.8412642046,0.5835930420593782,NA,NA
Europe,1996,581616.1319247159,7.766879513859749,18.55037618181818,3365151.971946023,0.5840901434421539,NA,NA
Europe,1997,596711.6924272017,7.8423378962007435,18.56988068181818,3429654.649236506,0.5794725675474514,NA,NA
Europe,1998,614669.6794877485,7.9678495702418415,18.5862825,3501786.7533735796,0.5816089497371153,NA,NA
Europe,1999,632449.9783158735,8.086884993721139,18.610583863636364,3579016.8362926138,0.5841258290139112,NA,NA
Europe,2000,657138.7630504261,8.217060275375843,18.650393727272725,3660226.2974964487,0.5783399506048723,NA,NA
Europe,2001,671511.687721946,8.281355569308454,18.708721909090908,3737090.3283913354,0.5815906958146528,NA,NA
Europe,2002,679059.6756924716,8.265446448190646,18.78235177272727,3807058.147283381,0.5802327286113392,NA,NA
Europe,2003,685041.4854403409,8.269441944631664,18.864996318181817,3875524.4163707388,0.5808314979076385,NA,NA
Europe,2004,703418.7334428267,8.325537990440022,18.947312954545453,3946536.555752841,0.572101041674614,NA,NA
Europe,2005,717002.6474165483,8.398444023999302,19.022418727272726,4020668.253018466,0.5741006244312633,NA,NA
Europe,2006,741995.1574485085,8.557805839587342,19.088455681818182,4103307.373934659,0.5689310634678061,NA,NA
Europe,2007,765472.8438387784,8.725179183212193,19.147219681818182,4194910.838068182,0.5637603266672655,NA,NA
Europe,2008,771865.2379705255,8.810346693477847,19.199883818181817,4279901.826171875,0.5689586116509004,NA,NA
Europe,2009,740883.5,8.676469773054123,19.248817636363636,4333113.959161932,0.5747161724350669,NA,NA
Europe,2010,756473.1819513495,8.598782344975255,19.295782272727273,4382507.713245738,0.5662316124547612,NA,NA
