id,region,year,pov
1,Oceanía,2010,12.632681175
1,Oceanía,2011,12.0921624875
1,Oceanía,2012,11.760085587499999
1,Oceanía,2013,11.2895108625
1,Oceanía,2014,10.6758772125
1,Oceanía,2015,10.6722681375
1,Oceanía,2016,10.0648251
1,Oceanía,2017,9.69410725
1,Oceanía,2018,9.6911283125
1,Oceanía,2019,9.52558975
1,Guatemala,1984,47.037209999999995
1,Guatemala,1985,48.24446
1,Guatemala,1986,48.99994
1,Guatemala,1987,44.38662
1,Guatemala,1988,36.51084
1,Guatemala,1989,36.258
1,Guatemala,1990,34.29845
1,Guatemala,1991,33.35452
1,Guatemala,1992,29.58965
1,Guatemala,1993,26.53607
1,Guatemala,1994,23.00986
1,Guatemala,1995,19.41241
1,Guatemala,1996,18.22931
1,Guatemala,1997,15.99443
